sentence_s,sentence_t
"Wedding, the end is coming…","Свадьба, конец приближается…"
"On the riverbank,Drinking ayran,A bold abrekIs fucking a ram…","На берегу реки,  
Пьёт айран,  
Смелый абрек  
Трахает барана…"
"The prisoner transport vehicle carrying the former prime minister reached the yard of the Pecherski court of justice unhindered, under the shouts of pro-Timoshenko demonstrators.","Транспортное средство для перевозки заключённых, в котором находилась бывший премьер-министр, беспрепятственно прибыло во двор Печерского суда под крики демонстрантов, поддерживающих Тимошенко."
But hopefully my getting closer to a car and getting an license will be a boost to brighter days.,"Но я надеюсь, что приближение к покупке машины и получение водительских прав станут шагом к более светлым дням."
"They say mum is your best girlfriend… Right, I’ll tell her about it. And in the morning everything will be known to the second best girlfriend daddy.","Говорят, мама — твоя лучшая подруга… Ладно, я ей об этом расскажу. А утром всё станет известно второй лучшей подруге — папе."
The agro-Führer descends to new lows but he does not frighten us.,"Агро-фюрер опускается на новые низости, но он нас не пугает."
"Read it three times, had a beer, but I still don’t get it… I need a third (or more beer), clearly…","Прочитал это три раза, выпил пива, но всё равно не понимаю… Мне явно нужна ещё третья (или больше) кружка…"
"Bullshit. A great idea, but bullshit.","Чушь. Отличная идея, но чушь."
"To say it in the language of the original source: the cunts deliver big time ) in one word, wicked",Сказать это на языке оригинального источника: эти сучки реально жгут ) одним словом — круто
"I started buying condiments at the market only from Azeris — they’re a lot tastier, in my opinion.","Я стал покупать приправы на рынке только у азербайджанцев — по моему мнению, они намного вкуснее."
"Firstly I wrote to the admin to explain the terms like “Armenian queen” as it means in cant the same as “acrobat”, “perforated”… a passive homosexual.","Во-первых, я написал администратору, чтобы объяснить такие термины, как «армянская королева», так как в жаргоне это означает то же самое, что «акробат», «проколотый»… пассивный гомосексуал."
"As they say in the waning leetspeak, “I32()5 2[_]1€” =)",Как говорят на уходящем лейтспике: «I32()5 2[_]1€” =)
"Then I go home and think… I’ve reached the point where winos begin offering to share their wine, vodka and cigarettes…","Потом я иду домой и думаю… Я дошёл до того, что бомжи начинают предлагать мне поделиться своим вином, водкой и сигаретами…"
Enough drinking! You’re already soaked through with spirits!,Хватит пить! Ты уже весь пропитан спиртным!
"And even then… when we lived in the NV district, I used to buy quince every summer for several years in a row from a guy on Golubtsa Street. He looked like a real alcoholic, but his quince was simply fantastic.","И даже тогда… когда мы жили в районе NV, я несколько лет подряд каждое лето покупал айву у одного парня на улице Голубца. Он выглядел как настоящий алкоголик, но его айва была просто потрясающей."
In all I got the impression that he is an ambitious drunkard frustrated by life.,"В целом у меня сложилось впечатление, что он — амбициозный пьяница, разочарованный жизнью."
A boozer mistook his wife for a vampire and chopped her head off.,Пьяница принял свою жену за вампира и отрубил ей голову.
"A lorry carrying beer overturned in Biysk. And while the driver is on his way to the emergency room, the local alcoholics are busy filling their rides with free booze.","Грузовик с пивом перевернулся в Бийске. Пока водитель едет в больницу, местные алкоголики наполняют свои машины бесплатным алкоголем."
"That’s the lottery I mean, and it was a lucky one for the spics!","Вот о какой лотерее я говорю, и она оказалась удачной для латиносов!"
"Derived from the word “amara”, which meant mistress, prostitute.","Происходит от слова «амара», которое означало госпожу, проститутку."
"Yanks love Coca-Cola, chewing gum, their president.","Янки любят Кока-Колу, жевательную резинку, своего президента."
"She’s wearing stilettos and a tight, short black dress. And under that thin fabric, there are SUCH curves. Absolutely stunning curves, and the suspension… even Citroën designers would suffocate from envy. Satisfied with what I saw, I grabbed a towel and went to take a shower.","Она на шпильках и в обтягивающем коротком черном платье. А под этой тонкой тканью — такие формы! Просто потрясающие изгибы, и подвеска… даже дизайнеры Citroën бы задохнулись от зависти. Довольный увиденным, я взял полотенце и пошёл в душ."
"From civilian life I knew what grass is and saw how to smoke it and get off, although I did not smoke it myself. But I did not expect you could get so stoned: Afghan chars is not like regular grass, moreover due to a lack of habit I took a deep puff.","Из гражданской жизни я знал, что такое трава, видел, как её курят и кайфуют, хотя сам не курил. Но я не ожидал, что можно так накуриться: афганский чарс — это не обычная трава, к тому же из-за отсутствия привычки я сделал глубокую затяжку."
"I saw on Tverskaya street client for the Anashists that had parked much as they liked. And on Pushkin square I saw the Anashists themselves, handing out stickers.","Я видел на Тверской улице клиентов Анашистов, которые парковались как им вздумается. А на Пушкинской площади я видел самих Анашистов, раздающих наклейки."
wall66: Have you any official sources confirming it?Zujev-Khalupin: WUU2?wall66: just wondering.,"wall66: У тебя есть какие-нибудь официальные источники, подтверждающие это?
Zujev-Khalupin: Что делаешь?
wall66: Просто интересно."
"A million is a thousand grand, a billion is a yard and what is a trillion?","Миллион — это тысяча тысяч, миллиард — это миллиард, а что такое триллион?"
"An “Armenian queen” is not a name for Armenians, by the way, it’s cant for a redneck that has been raped by Armenians.","Фраза «армянская королева» — это, кстати, не название для армян; это жаргонное выражение, обозначающее реднека, который был изнасилован армянами."
"Hi, you don’t know how to install ICQ? You don’t know where to download it from? Have trouble registering? Two possible answers: 1) you’re a cute gal that does not want to go into all the details of computers (why for? you’re cute anyway). 2) You’re a bloke then you made two mistakes. First to get born, second when you sat down in front of the computer.","Привет, ты не знаешь, как установить ICQ? Не знаешь, откуда его скачать? Проблемы с регистрацией? Возможны два варианта: 1) ты милая девушка, которая не хочет вдаваться во все подробности работы с компьютером (а зачем? ты и так милая). 2) Ты парень, тогда ты совершил две ошибки. Первая — что родился, вторая — когда сел за компьютер."
"Found @NadinProkopik a brilliant fiancé, and she’s still capricious #wtf","Нашёл @NadinProkopik — блестящую невесту, а она всё такая же капризная #wtf"
"In the case of the rebellion against Zelensky, a former ATO participant has been detained.",В случае мятежа против Зеленского был задержан бывший участник АТО.
"— What is the diameter of your mother’s, I apologize, backside?","— Каков диаметр, прошу прощения, зада вашей мамы?"
"Author-cusser, if you hear us, to take a running jump, your site is neat, we love you.","Автор-ругатель, если ты нас слышишь, прыгни с разбега, твой сайт классный, мы тебя любим."
"People, the author seriously owns it. Full grade. Nobody had ever thought such a thing.","Люди, автор реально владеет этим. Высший балл. Никто никогда не думал о таком."
I read recently the Kommersant and was pretty fucking much astonished.,Я недавно читал «Коммерсант» и был просто офигенно поражён.
"Fucking hell, what a fucking world we live in. To lose your dreams over a positive test is so fucking fucked up, I wouldn’t wish it on anyone.","Чёрт возьми, в каком же грёбаном мире мы живём. Терять свои мечты из-за положительного теста — это так чертовски несправедливо, я бы такого никому не пожелал."
"It seems the Kremlin elite is firmly convinced that if they pump a shitload of money into Crimea (your money and mine, by the way, including the pensions they’ve taken from us), then the peninsula will become Russian.","Похоже, кремлёвская элита твёрдо убеждена, что если вкачать кучу денег в Крым (между прочим, твоих и моих денег, включая пенсии, которые у нас отобрали), то полуостров станет российским."
"Folks, those who drive children around, please tell if it is possible to have a five-year-old in the car and drive him to the dacha without getting a hell of a pain in the ass? What is the practice today: would the fine be expensive? Can they stop you from driving on?","Народ, те, кто возит детей, подскажите, можно ли сейчас возить пятилетнего ребёнка в машине на дачу, чтобы не получить потом кучу проблем? Как сейчас с этим на практике: штраф большой? Могут ли не дать дальше ехать?"
"No fuck, I swear, honestly, I also thought bad of my alma mater.","Нет, блин, честно, клянусь, я тоже плохо думал о своей альма-матер."
