term_lang,word,conv_def,slang_def
ZH,阿乡,A person from a rural area who is considered unsophisticated or lacking in urban manners.,country bumpkin; yokel
ZH,挨呲儿,to be scolded; to receive a reprimand,get a talking-to; get a dressing down
ZH,挨剋,"To be scolded, reprimanded, or criticized by someone in authority.",get a talking-to; told off; get a dressing-down
ZH,案子,A legal case; a matter under investigation or adjudication by a court.,case; law case
ZH,吧嗒,To puff on or draw from a pipe (for smoking).,pull at (a pipe); smoke (a pipe)
ZH,扒分,To work for pay during one’s spare time.,work in spare time for money
ZH,扒面,To exploit national or corporate resources for personal gain at the expense of the organization.,take advantage of the state or a company for one’s own benefit; profit at the stat’s or a company’s expense
ZH,吧女,A female attendant or hostess who works in a bar.,bar girl
ZH,拔,To cool (food or an object) by immersing it in water.,cool in water
ZH,拔份儿,To show off one’s strength or power; to display one’s capability and courage to others.,show off one’s strength or power; demonstrate one’s power and courage over others
ZH,把,a period of time; a round or session (in an activity or event),time; rounds
ZH,掰,to break off a friendship; to end a personal relationship,break up; break off a friendship
ZH,拜拜,"A transliteration of the English phrase ""bye-bye,"" used to express farewell or parting.",bye-bye(transliteration of English phrase)
ZH,白搭,Completely useless; ineffective; resulting in wasted effort.,have no use; futile; spend effort in vain
ZH,白话,"To speak empty, boastful, or meaningless words; to talk excessively or pointlessly.",make empty talk; talk big; talk nonsense; be blah-blah
ZH,白毛风,A severe snowstorm with strong winds; a blizzard.,sonowstorm; blizzard
ZH,白玩儿,Easy to do; not difficult; requiring little effort.,easy to do; not difficult; not hard
ZH,摆龙门阵,to engage in casual conversation or storytelling,chat; engage in chitchat; tell a story
ZH,摆摊儿,To set up a stall for selling goods on the street or in a market.,set up a stall along the street on in a market
ZH,扳大闸,To force open a lock in order to steal something.,pry open a lock(to steal sth.)
ZH,板儿寸,A very short haircut with hair closely cropped to the scalp; a crew cut or buzz cut.,hairstyle in which the hair is cropped close to the head; closely cropped hair; bush-top
ZH,办,to punish; to penalize,punish; penalize
