lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en,vanilla_cos_sim,vanilla_cos_dist,vanilla_euclidean,vanilla_manhattan,trained_cos_sim,trained_cos_dist,trained_euclidean,trained_manhattan
en,404,An error message displayed by a browser indicating that an Internet address cannot be found,An error message displayed by a browser indicating that an Internet address cannot be found,missing or misplaced,missing or misplaced,0.2711348,0.7288652,1.207365,26.226131,0.12505624,0.87494373,1.3228332,29.186985
en,accident,"An unfortunate incident that happens unexpectedly and unintentionally , typically resulting in damage or injury","An unfortunate incident that happens unexpectedly and unintentionally , typically resulting in damage or injury",accidental act of urination or defecation,accidental act of urination or defecation,0.5495831,0.45041692,0.9491227,20.410858,0.5958118,0.40418822,0.8990975,20.12606
en,ace,"A playing card with a single spot on it , ranked as the highest card in its suit in most card games","A playing card with a single spot on it , ranked as the highest card in its suit in most card games","great, excellent","great, excellent",0.17574263,0.8242574,1.283945,27.290176,0.1845019,0.8154981,1.2771046,28.82312
en,acid,"A substance with particular chemical properties including turning litmus red , neutralizing alkalis , and dissolving some metals ; typically , a corrosive or sour - tasting liquid of this kind","A substance with particular chemical properties including turning litmus red , neutralizing alkalis , and dissolving some metals ; typically , a corrosive or sour - tasting liquid of this kind",the hallucinogenic LSD (Lysergic acid diethylamide),the hallucinogenic LSD (Lysergic acid diethylamide),0.37728298,0.622717,1.1159902,23.821629,0.5426838,0.45731622,0.9563641,21.167175
en,action,"The fact or process of doing something , typically to achieve an aim","The fact or process of doing something , typically to achieve an aim","sexual activity.  The term is ambiguous, and can mean intercourse or sexual non-intercourse contact (e.g. kissing; making out.)","sexual activity.  The term is ambiguous, and can mean intercourse or sexual non-intercourse contact (e.g. kissing; making out.)",0.34256062,0.65743935,1.1466817,24.079998,0.45965576,0.54034424,1.0395616,22.95185
en,active,Engaging or ready to engage in physically energetic pursuits,Engaging or ready to engage in physically energetic pursuits,something or someone that is cool; tight,something or someone that is cool; tight,0.38183194,0.61816806,1.1119064,24.280333,0.46168643,0.53831357,1.0376064,22.923946
en,adult,A person who is fully grown or developed,A person who is fully grown or developed,to act like a responsible adult,to act like a responsible adult,0.48598617,0.5140138,1.013917,21.966213,0.6651091,0.3348909,0.818402,18.313261
en,adware,Software that automatically displays or downloads advertising material such as banners or pop - ups when a user is online,Software that automatically displays or downloads advertising material such as banners or pop - ups when a user is online,bad software (malware) that exists only to display unwanted advertisements,bad software (malware) that exists only to display unwanted advertisements,0.67614233,0.32385767,0.80480766,17.395279,0.7929926,0.20700741,0.64343977,14.364753
en,afro,"A thick hairstyle consisting of very tight curls that sticks out all round the head , like the natural hair of some black people","A thick hairstyle consisting of very tight curls that sticks out all round the head , like the natural hair of some black people",any large hair style,any large hair style,0.802109,0.197891,0.6291121,13.414469,0.785034,0.214966,0.65569204,14.466518
en,airhead,A base close to the area of active operations where supplies and troops can be received and evacuated by air,A base close to the area of active operations where supplies and troops can be received and evacuated by air,an unintelligent person; dimwit.  Contains strong connotations of obliviousness or forgetfulness.,an unintelligent person; dimwit.  Contains strong connotations of obliviousness or forgetfulness.,-0.014548255,1.0145483,1.4244635,30.620415,0.24058637,0.7594136,1.2324072,27.278755
en,all,Used to refer to the whole quantity or extent of a particular group or thing,Used to refer to the whole quantity or extent of a particular group or thing,"to say.  Note: can only be used in the present, past, and future simple tenses and the past conditional tense","to say.  Note: can only be used in the present, past, and future simple tenses and the past conditional tense",0.14696524,0.85303473,1.3061659,27.043406,0.35957497,0.640425,1.1317464,25.1918
en,already,Before or by now or the time in question,Before or by now or the time in question,"equivalent to I already know or You already know, as if to say YES! emphatically.  Demonstrates total agreement with what a speaker has said","equivalent to I already know or You already know, as if to say YES! emphatically.  Demonstrates total agreement with what a speaker has said",0.35403416,0.6459658,1.1366316,24.313046,0.573496,0.42650402,0.92358434,20.470764
en,ambo,( in an early Christian church ) an oblong pulpit with steps at each end,( in an early Christian church ) an oblong pulpit with steps at each end,ambulance,ambulance,0.13794705,0.8620529,1.313052,28.385914,0.16225763,0.8377424,1.2944051,28.399597
en,anaconda,"A semiaquatic snake of the boa family that may grow to a great size , native to tropical South America","A semiaquatic snake of the boa family that may grow to a great size , native to tropical South America",a penis,a penis,0.3098437,0.69015634,1.174867,25.45789,0.22014347,0.77985656,1.2488847,27.954817
