Word,Definition,Examples
阿乡,country bumpkin; yokel,"[{""sentence"": ""['他带着阿乡买；东西去了。']"", ""translation"": ""['She took the country bumpkin shopping.']""}]"
挨呲儿,get a talking-to; get a dressing down,"[{""sentence"": ""['小男孩怕挨呲儿便偷偷地把打碎的盘子扔掉']"", ""translation"": ""['The little boy furtively threw away the broken dish so as not to get a dressing down.']""}]"
挨剋,get a talking-to; told off; get a dressing-down,"[{""sentence"": ""['瞧, '挨剋了吧。你没瞧见你爸正忙着吗', 还去给他捣乱。']"", ""translation"": ""['See, you got a good talking-to. Didn’t you see your dad was busy when you went to interrupt him?']""}]"
案子,case; law case,"[{""sentence"": ""['这是一起不小的案子.']"", ""translation"": ""['This is a rather big case.']""}]"
吧嗒,pull at (a pipe); smoke (a pipe),"[{""sentence"": ""['他吧嗒了两口烟袋又继续讲下去。']"", ""translation"": ""['He pulled at his pipe for a while and continued to talk.']""}]"
扒分,work in spare time for money,"[{""sentence"": ""['为了供儿子上大学, 老冯每逢周末都去扒分做小时工.']"", ""translation"": ""['Lao Feng works as an hourly worker in his spare time every weekend so that he can support his son’s attendance at university.']""}]"
扒面,take advantage of the state or a company for one’s own benefit; profit at the stat’s or a company’s expense,"[{""sentence"": ""['那小子近几年可是发了, '还买了汽车', 一定没少扒面.']"", ""translation"": ""['That guy made a fortune in those years and even bought a car. He must have benefited by taking advantage of his company.']""}]"
吧女,bar girl,"[{""sentence"": ""['为了能多挣些钱, '阿美白天在工厂里打工', 晚上去做吧女。']"", ""translation"": ""['To make more money A’mei goes to work in a factory during the day, and works as a bar girl in the evening.']""}]"
拔,cool in water,"[{""sentence"": ""['她把热粥放在凉水里拔.']"", ""translation"": ""['She cooled the hot porridge in cold water.']""}]"
拔份儿,show off one’s strength or power; demonstrate one’s power and courage over others,"[{""sentence"": ""['我看不起那些好在人群前拔份儿的人.']"", ""translation"": ""['I look down on those who like to show off their strength in front of others.']""}]"
把,time; rounds,"[{""sentence"": ""['老王每次看见人家玩儿牌就手痒, 非得玩上几把才心里舒坦.']"", ""translation"": ""['Lao wang gets an itch to play cards as soon as he sees someone else playing. He won’t feel comfortable unless he plays a few rounds.']""}]"
掰,break up; break off a friendship,"[{""sentence"": ""['汤姆在一次激烈的争吵后和史蒂夫掰了.']"", ""translation"": ""['Tom broke with his friend Steve after a wrangling.']""}]"
拜拜,bye-bye(transliteration of English phrase),"[{""sentence"": ""['咱们还是拜拜吧!否则你上班又要迟到了。']"", ""translation"": ""['Let’s say good-bye now, otherwise you will be late for work again.']""}]"
白搭,have no use; futile; spend effort in vain,"[{""sentence"": ""['找到她也白塔.她不会把钱退给你.']"", ""translation"": ""['It’s no use to find her. She won’t give the money back to you.']""}]"
白话,make empty talk; talk big; talk nonsense; be blah-blah,"[{""sentence"": ""['别信他, 他总爱瞎白话.']"", ""translation"": ""['Don’t believe him. He always talk nonsense.']""}]"
白毛风,sonowstorm; blizzard,"[{""sentence"": ""['我听说东北的白毛风特别可怕, 一旦刮起来两三天也不停.']"", ""translation"": ""['I heard that the snowstorms in Northeast China are very frightening. Once one starts, it won’t stop for two or three days.']""}]"
白玩儿,easy to do; not difficult; not hard,"[{""sentence"": ""['喝一瓶酒对我来说简直是白玩儿.']"", ""translation"": ""['It’s a cinch for me to drink one bottle of beer.']""}]"
摆龙门阵,chat; engage in chitchat; tell a story,"[{""sentence"": ""['他最善于和人摆龙门阵。']"", ""translation"": ""['He is fond of chatting with people.']""}]"
摆摊儿,set up a stall along the street on in a market,"[{""sentence"": ""['退休后他去摆摊儿卖金鱼了.']"", ""translation"": ""['He set up a stall to sell goldfish after he retired.']""}]"
扳大闸,pry open a lock(to steal sth.),"[{""sentence"": ""['他在一家仓库扳大闸时被抓获.']"", ""translation"": ""['He was caught prying open the lock of a warehouse.']""}]"
板儿寸,hairstyle in which the hair is cropped close to the head; closely cropped hair; bush-top,"[{""sentence"": ""['今年北京的男青年流行板儿寸.']"", ""translation"": ""['The bush-top became a fad this year in Beijing.']""}]"
办,punish; penalize,"[{""sentence"": ""['那伙歹徒让警察给办了.']"", ""translation"": ""['The gangsters were punished by the police.']""}]"
半残废,half-crippled/A metaphor for a man of 170 cm or below in height who is not tall enough for the woman he’s romantically interested in and therefore jokingly called “half-crippled” .,"[{""sentence"": ""['我老婆自从决定嫁给我这半残废时, 就把她所有的高跟鞋都处理了.']"", ""translation"": ""['When my wife decided to marry me, 'a“half-crippled” man', she threw all her high-heels away.']""}]"
