sentence_s,sentence_t
She took the country bumpkin shopping.,她带着乡下人去购物。
The little boy furtively threw away the broken dish so as not to get a dressing down.,小男孩偷偷地把破碗扔掉，以免挨训。
"See, you got a good talking-to. Didn’t you see your dad was busy when you went to interrupt him?",看，你被好好地训了一顿。你没看到你爸爸在忙吗，当你去打扰他的时候？
This is a rather big case.,这是一个相当大的案件。
He pulled at his pipe for a while and continued to talk.,他抽了抽烟斗，继续说话。
Lao Feng works as an hourly worker in his spare time every weekend so that he can support his son’s attendance at university.,老冯在每个周末的空闲时间做小时工，以便支持他儿子上大学。
That guy made a fortune in those years and even bought a car. He must have benefited by taking advantage of his company.,那个家伙在那些年里赚了一大笔钱，甚至买了一辆车。他一定是通过利用他的公司而获利的。
"To make more money A’mei goes to work in a factory during the day, and works as a bar girl in the evening.",为了赚更多的钱，阿妹白天去工厂工作，晚上则做酒吧女郎。
She cooled the hot porridge in cold water.,她把热粥放在冷水中降温。
I look down on those who like to show off their strength in front of others.,我看不起那些喜欢在别人面前炫耀自己力量的人。
Lao wang gets an itch to play cards as soon as he sees someone else playing. He won’t feel comfortable unless he plays a few rounds.,老王一看到别人打牌就忍不住想玩。他如果不打几局就会感到不舒服。
Tom broke with his friend Steve after a wrangling.,汤姆在一次争吵后与他的朋友史蒂夫断交了。
"Let’s say good-bye now, otherwise you will be late for work again.",我们现在说再见吧，不然你又要迟到上班了。
It’s no use to find her. She won’t give the money back to you.,找她是没用的。她不会把钱还给你的。
Don’t believe him. He always talk nonsense.,不要相信他。他总是胡说八道。
"I heard that the snowstorms in Northeast China are very frightening. Once one starts, it won’t stop for two or three days.",我听说中国东北的暴风雪非常可怕。一旦开始，就会持续两三天不停。
It’s a cinch for me to drink one bottle of beer.,对我来说，喝一瓶啤酒轻而易举。
He is fond of chatting with people.,他喜欢和人聊天。
He set up a stall to sell goldfish after he retired.,他退休后开了一个摊位卖金鱼。
He was caught prying open the lock of a warehouse.,他被抓到撬开一个仓库的锁。
The bush-top became a fad this year in Beijing.,今年在北京，树丛顶部成为了一种时尚。
The gangsters were punished by the police.,黑帮分子被警察惩罚了。
"When my wife decided to marry me, 'a“half-crippled” man', she threw all her high-heels away.",当我的妻子决定嫁给我这个“半残废”的人时，她把所有的高跟鞋都扔掉了。
"He threw the other half of the paper away.', 'There is half of a watermelon left there.",他把另一半纸扔掉了。那里还有半个西瓜。
"He couldn’t say a word for ages.', 'morning', 'afternoon', 'evening","Here is the translation of the provided text into Chinese:

- He couldn’t say a word for ages. - 他好久都说不出话来。
- morning - 早晨
- afternoon - 下午
- evening - 晚上"
