lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
en,404,An error message displayed by a browser indicating that an Internet address cannot be found,An error message displayed by a browser indicating that an Internet address cannot be found,missing or misplaced,missing or misplaced
en,accident,"An unfortunate incident that happens unexpectedly and unintentionally , typically resulting in damage or injury","An unfortunate incident that happens unexpectedly and unintentionally , typically resulting in damage or injury",accidental act of urination or defecation,accidental act of urination or defecation
en,ace,"A playing card with a single spot on it , ranked as the highest card in its suit in most card games","A playing card with a single spot on it , ranked as the highest card in its suit in most card games","great, excellent","great, excellent"
en,acid,"A substance with particular chemical properties including turning litmus red , neutralizing alkalis , and dissolving some metals ; typically , a corrosive or sour - tasting liquid of this kind","A substance with particular chemical properties including turning litmus red , neutralizing alkalis , and dissolving some metals ; typically , a corrosive or sour - tasting liquid of this kind",the hallucinogenic LSD (Lysergic acid diethylamide),the hallucinogenic LSD (Lysergic acid diethylamide)
en,action,"The fact or process of doing something , typically to achieve an aim","The fact or process of doing something , typically to achieve an aim","sexual activity.  The term is ambiguous, and can mean intercourse or sexual non-intercourse contact (e.g. kissing; making out.)","sexual activity.  The term is ambiguous, and can mean intercourse or sexual non-intercourse contact (e.g. kissing; making out.)"
en,active,Engaging or ready to engage in physically energetic pursuits,Engaging or ready to engage in physically energetic pursuits,something or someone that is cool; tight,something or someone that is cool; tight
en,adult,A person who is fully grown or developed,A person who is fully grown or developed,to act like a responsible adult,to act like a responsible adult
en,adware,Software that automatically displays or downloads advertising material such as banners or pop - ups when a user is online,Software that automatically displays or downloads advertising material such as banners or pop - ups when a user is online,bad software (malware) that exists only to display unwanted advertisements,bad software (malware) that exists only to display unwanted advertisements
en,afro,"A thick hairstyle consisting of very tight curls that sticks out all round the head , like the natural hair of some black people","A thick hairstyle consisting of very tight curls that sticks out all round the head , like the natural hair of some black people",any large hair style,any large hair style
en,airhead,A base close to the area of active operations where supplies and troops can be received and evacuated by air,A base close to the area of active operations where supplies and troops can be received and evacuated by air,an unintelligent person; dimwit.  Contains strong connotations of obliviousness or forgetfulness.,an unintelligent person; dimwit.  Contains strong connotations of obliviousness or forgetfulness.
en,all,Used to refer to the whole quantity or extent of a particular group or thing,Used to refer to the whole quantity or extent of a particular group or thing,"to say.  Note: can only be used in the present, past, and future simple tenses and the past conditional tense","to say.  Note: can only be used in the present, past, and future simple tenses and the past conditional tense"
en,already,Before or by now or the time in question,Before or by now or the time in question,"equivalent to I already know or You already know, as if to say YES! emphatically.  Demonstrates total agreement with what a speaker has said","equivalent to I already know or You already know, as if to say YES! emphatically.  Demonstrates total agreement with what a speaker has said"
en,ambo,( in an early Christian church ) an oblong pulpit with steps at each end,( in an early Christian church ) an oblong pulpit with steps at each end,ambulance,ambulance
en,anaconda,"A semiaquatic snake of the boa family that may grow to a great size , native to tropical South America","A semiaquatic snake of the boa family that may grow to a great size , native to tropical South America",a penis,a penis
en,anal,Relating to or situated near the anus,Relating to or situated near the anus,shortened form of anal retentive,shortened form of anal retentive
en,animal,"A living organism that feeds on organic matter , typically having specialized sense organs and nervous system and able to respond rapidly to stimuli","A living organism that feeds on organic matter , typically having specialized sense organs and nervous system and able to respond rapidly to stimuli",a person who is extremely dedicated to something,a person who is extremely dedicated to something
en,ankle,The joint connecting the foot with the leg,The joint connecting the foot with the leg,a person who deserves a label even worse than cunt.  From an anatomical description of a human: An ankle is two feet beneath a cunt,a person who deserves a label even worse than cunt.  From an anatomical description of a human: An ankle is two feet beneath a cunt
en,anus,The opening at the end of the alimentary canal through which solid waste matter leaves the body,The opening at the end of the alimentary canal through which solid waste matter leaves the body,general derogatory term,general derogatory term
en,app,"An application , especially as downloaded by a user to a mobile device","An application , especially as downloaded by a user to a mobile device",application,application
en,apple,"The round fruit of a tree of the rose family , which typically has thin green or red skin and crisp flesh","The round fruit of a tree of the rose family , which typically has thin green or red skin and crisp flesh","a Native American who acts like a European, being red on the outside and white on the inside, just like an apple","a Native American who acts like a European, being red on the outside and white on the inside, just like an apple"
en,armpit,A hollow under the arm at the shoulder,A hollow under the arm at the shoulder,a displeasing area within some larger area,a displeasing area within some larger area
en,artist,A person who creates paintings or drawings as a profession or hobby,A person who creates paintings or drawings as a profession or hobby,used with another noun to indicate someone is skilled at something,used with another noun to indicate someone is skilled at something
en,ass,"An animal of the horse family , which is typically smaller than a horse and has longer ears and a braying call","An animal of the horse family , which is typically smaller than a horse and has longer ears and a braying call",anything displeasing,anything displeasing
en,associate,A partner or companion in business or at work,A partner or companion in business or at work,an employee,an employee
en,atmosphere,The envelope of gases surrounding the earth or another planet,The envelope of gases surrounding the earth or another planet,the general feeling of a place,the general feeling of a place
en,aught,Anything at all,Anything at all,"zero.  An antiquated term, but not slang.  In the long past, used for years between and including 1901 and 1909.  Now, used for years between and including 2001 and 2009 to humorously suggest that they were a long time ago","zero.  An antiquated term, but not slang.  In the long past, used for years between and including 1901 and 1909.  Now, used for years between and including 2001 and 2009 to humorously suggest that they were a long time ago"
en,avatar,A manifestation of a deity or released soul in bodily form on earth ; an incarnate divine teacher,A manifestation of a deity or released soul in bodily form on earth ; an incarnate divine teacher,"an icon, pictorial, or 3D representation of a person online.  In the online gaming community, for example, one's character as seen by other players is one's avatar.","an icon, pictorial, or 3D representation of a person online.  In the online gaming community, for example, one's character as seen by other players is one's avatar."
en,aw,"Used to express mild protest , entreaty , or sympathy","Used to express mild protest , entreaty , or sympathy",oh,oh
en,awesome,Extremely impressive or daunting ; inspiring awe,Extremely impressive or daunting ; inspiring awe,a metaphorical substance that adds excellence,a metaphorical substance that adds excellence
en,axe,"A tool used for chopping wood , typically of iron with a steel edge and wooden handle","A tool used for chopping wood , typically of iron with a steel edge and wooden handle",ask,ask
en,b,Born ( used to indicate a date of birth,Born ( used to indicate a date of birth,woman.  Likely short for,woman.  Likely short for
en,babe,A baby,A baby,affectionate term for one's significant other,affectionate term for one's significant other
en,baby,A very young child,A very young child,small,small
en,back,The rear surface of the human body from the shoulders to the hips,The rear surface of the human body from the shoulders to the hips,an alcohol chaser,an alcohol chaser
en,backbone,The series of vertebrae extending from the skull to the pelvis ; the spine,The series of vertebrae extending from the skull to the pelvis ; the spine,"metaphor: having a backbone endows one with courage, will","metaphor: having a backbone endows one with courage, will"
en,back door,The rear door of a building,The rear door of a building,the anus,the anus
en,back off,Draw back from action or confrontation,Draw back from action or confrontation,to move away from,to move away from
en,backwards,( of a movement ) in the direction of one's back,( of a movement ) in the direction of one's back,outdated,outdated
en,bacon,Cured meat from the back or sides of a pig,Cured meat from the back or sides of a pig,the police,the police
en,bad,Of poor quality or a low standard,Of poor quality or a low standard,"very good, excellent","very good, excellent"
en,bag,"A flexible container with an opening at the top , used for carrying things","A flexible container with an opening at the top , used for carrying things","one's taste.  That is, an activity that one finds appealing","one's taste.  That is, an activity that one finds appealing"
en,baggage,Suitcases and bags containing personal belongings packed for travelling ; luggage,Suitcases and bags containing personal belongings packed for travelling ; luggage,emotional burdens from one's past,emotional burdens from one's past
en,bah,An expression of contempt or disagreement,An expression of contempt or disagreement,"used to convey surprise, disgust, or doubt","used to convey surprise, disgust, or doubt"
en,bail,"The temporary release of an accused person awaiting trial , sometimes on condition that a sum of money is lodged to guarantee their appearance in court","The temporary release of an accused person awaiting trial , sometimes on condition that a sum of money is lodged to guarantee their appearance in court",to leave,to leave
en,bail out,Make an emergency parachute descent from an aircraft,Make an emergency parachute descent from an aircraft,to leave,to leave
en,bairn,A child,A child,a baby.,a baby.
en,bait,"Food placed on a hook or in a net , trap , or fishing area to entice fish or other animals as prey","Food placed on a hook or in a net , trap , or fishing area to entice fish or other animals as prey",obvious,obvious
en,bake,"Cook ( food ) by dry heat without direct exposure to a flame , typically in an oven","Cook ( food ) by dry heat without direct exposure to a flame , typically in an oven",to smoke marijuana,to smoke marijuana
en,baked,( of food ) cooked by dry heat in an oven,( of food ) cooked by dry heat in an oven,under the influence of marijuana; stoned,under the influence of marijuana; stoned
en,baller,A person or device that makes or forms something into balls,A person or device that makes or forms something into balls,very cool or stylish,very cool or stylish
en,bam,Used to imitate the sound of a hard blow or to convey something happening abruptly,Used to imitate the sound of a hard blow or to convey something happening abruptly,there you go; and then suddenly; etc.  Usually spoken with increased volume,there you go; and then suddenly; etc.  Usually spoken with increased volume
en,band,"A flat , thin strip or loop of material , used as a fastener , for reinforcement , or as decoration","A flat , thin strip or loop of material , used as a fastener , for reinforcement , or as decoration",one thousand dollars,one thousand dollars
en,bandwidth,"A range of frequencies within a given band , in particular that used for transmitting a signal","A range of frequencies within a given band , in particular that used for transmitting a signal",a person's work capacity,a person's work capacity
en,bang,"A sudden loud , sharp noise","A sudden loud , sharp noise",to be very good; be awesome,to be very good; be awesome
